case_id,code,stage,field,owner_skill,target_stage,message,requested_action
golden_crdmo_backlog_conversion,ASSERTION_FAILED,case_activation,assertions.qualification_deterministic_rerun,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_deterministic_rerun failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_crdmo_backlog_conversion.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_crdmo_backlog_conversion,ASSERTION_FAILED,case_activation,assertions.qualification_drivers_present,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_drivers_present failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_crdmo_backlog_conversion.yaml: actual=[], expected='$nonempty'",route the failed upstream gate to its owning stage; do not edit the expected value
golden_crdmo_backlog_conversion,ASSERTION_FAILED,case_activation,assertions.qualification_evidence_complete,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_evidence_complete failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_crdmo_backlog_conversion.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_crdmo_backlog_conversion,ASSERTION_FAILED,case_activation,assertions.qualification_forecast_bridge_complete,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_forecast_bridge_complete failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_crdmo_backlog_conversion.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_crdmo_backlog_conversion,ASSERTION_FAILED,case_activation,assertions.qualification_official_sources_present,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_official_sources_present failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_crdmo_backlog_conversion.yaml: actual=0, expected='$nonempty'",route the failed upstream gate to its owning stage; do not edit the expected value
golden_crdmo_backlog_conversion,ASSERTION_FAILED,case_activation,assertions.qualification_overlap_resolved,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_overlap_resolved failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_crdmo_backlog_conversion.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_crdmo_backlog_conversion,ASSERTION_FAILED,case_activation,assertions.qualification_semantic_gate_passed,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_semantic_gate_passed failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_crdmo_backlog_conversion.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_crdmo_backlog_conversion,ASSERTION_FAILED,case_activation,assertions.qualification_valuation_eligible,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_valuation_eligible failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_crdmo_backlog_conversion.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_crdmo_backlog_conversion,ASSERTION_FAILED,case_activation,assertions.quality_case_id,quality-review,R5_bundle17r_targeted_backflow,"assertion quality_case_id failed in reports/workflow_runs/wf_20260715_stock_first_603259_wuxi_apptec/bundle16r/generated/quality_readout.json: actual='603259_crdmo_backlog_funnel', expected='$case_id'",route the failed upstream gate to its owning stage; do not edit the expected value
golden_crdmo_backlog_conversion,ASSERTION_FAILED,case_activation,assertions.regression_candidate_ready,quality-review,R5_bundle17r_targeted_backflow,"assertion regression_candidate_ready failed in reports/p1_6/r5_bundle17r/chain_a/golden_regression/R5_bundle14r_suite_result.json: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_crdmo_backlog_conversion,ASSERTION_FAILED,case_activation,assertions.regression_research_ready,quality-review,R5_bundle17r_targeted_backflow,"assertion regression_research_ready failed in reports/p1_6/r5_bundle17r/chain_a/golden_regression/R5_bundle14r_suite_result.json: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_crdmo_backlog_conversion,ASSERTION_POINTER_UNRESOLVED,case_activation,assertions.generation_id_present.pointer,quality-review,R5_bundle17r_targeted_backflow,cannot resolve pointer '/generation_id' in reports/workflow_runs/wf_20260715_stock_first_603259_wuxi_apptec/bundle16r/generated/generation_lock.json: '/generation_id',bind the assertion to the exact field emitted by the upstream artifact
golden_crdmo_backlog_conversion,ASSERTION_POINTER_UNRESOLVED,case_activation,assertions.quality_gate_pass.pointer,quality-review,R5_bundle17r_targeted_backflow,cannot resolve pointer '/candidate_ready_for_exact_hash_review' in reports/workflow_runs/wf_20260715_stock_first_603259_wuxi_apptec/bundle16r/generated/quality_readout.json: '/candidate_ready_for_exact_hash_review',bind the assertion to the exact field emitted by the upstream artifact
golden_gold_mining_cycle,ASSERTION_FAILED,case_activation,assertions.qualification_deterministic_rerun,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_deterministic_rerun failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_gold_mining_cycle.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_gold_mining_cycle,ASSERTION_FAILED,case_activation,assertions.qualification_drivers_present,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_drivers_present failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_gold_mining_cycle.yaml: actual=[], expected='$nonempty'",route the failed upstream gate to its owning stage; do not edit the expected value
golden_gold_mining_cycle,ASSERTION_FAILED,case_activation,assertions.qualification_evidence_complete,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_evidence_complete failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_gold_mining_cycle.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_gold_mining_cycle,ASSERTION_FAILED,case_activation,assertions.qualification_forecast_bridge_complete,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_forecast_bridge_complete failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_gold_mining_cycle.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_gold_mining_cycle,ASSERTION_FAILED,case_activation,assertions.qualification_official_sources_present,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_official_sources_present failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_gold_mining_cycle.yaml: actual=0, expected='$nonempty'",route the failed upstream gate to its owning stage; do not edit the expected value
golden_gold_mining_cycle,ASSERTION_FAILED,case_activation,assertions.qualification_overlap_resolved,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_overlap_resolved failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_gold_mining_cycle.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_gold_mining_cycle,ASSERTION_FAILED,case_activation,assertions.qualification_semantic_gate_passed,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_semantic_gate_passed failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_gold_mining_cycle.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_gold_mining_cycle,ASSERTION_FAILED,case_activation,assertions.qualification_valuation_eligible,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_valuation_eligible failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_gold_mining_cycle.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_gold_mining_cycle,ASSERTION_FAILED,case_activation,assertions.quality_case_id,quality-review,R5_bundle17r_targeted_backflow,"assertion quality_case_id failed in reports/workflow_runs/wf_20260715_stock_first_600988_chifeng_gold/bundle16r/generated/quality_readout.json: actual='600988_cycle_resource_gold', expected='$case_id'",route the failed upstream gate to its owning stage; do not edit the expected value
golden_gold_mining_cycle,ASSERTION_FAILED,case_activation,assertions.regression_candidate_ready,quality-review,R5_bundle17r_targeted_backflow,"assertion regression_candidate_ready failed in reports/p1_6/r5_bundle17r/chain_a/golden_regression/R5_bundle14r_suite_result.json: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_gold_mining_cycle,ASSERTION_FAILED,case_activation,assertions.regression_research_ready,quality-review,R5_bundle17r_targeted_backflow,"assertion regression_research_ready failed in reports/p1_6/r5_bundle17r/chain_a/golden_regression/R5_bundle14r_suite_result.json: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_gold_mining_cycle,ASSERTION_POINTER_UNRESOLVED,case_activation,assertions.generation_id_present.pointer,quality-review,R5_bundle17r_targeted_backflow,cannot resolve pointer '/generation_id' in reports/workflow_runs/wf_20260715_stock_first_600988_chifeng_gold/bundle16r/generated/generation_lock.json: '/generation_id',bind the assertion to the exact field emitted by the upstream artifact
golden_gold_mining_cycle,ASSERTION_POINTER_UNRESOLVED,case_activation,assertions.quality_gate_pass.pointer,quality-review,R5_bundle17r_targeted_backflow,cannot resolve pointer '/candidate_ready_for_exact_hash_review' in reports/workflow_runs/wf_20260715_stock_first_600988_chifeng_gold/bundle16r/generated/quality_readout.json: '/candidate_ready_for_exact_hash_review',bind the assertion to the exact field emitted by the upstream artifact
golden_multi_business_ai_infrastructure,ASSERTION_FAILED,case_activation,assertions.qualification_deterministic_rerun,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_deterministic_rerun failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_multi_business_ai_infrastructure.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_multi_business_ai_infrastructure,ASSERTION_FAILED,case_activation,assertions.qualification_drivers_present,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_drivers_present failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_multi_business_ai_infrastructure.yaml: actual=[], expected='$nonempty'",route the failed upstream gate to its owning stage; do not edit the expected value
golden_multi_business_ai_infrastructure,ASSERTION_FAILED,case_activation,assertions.qualification_evidence_complete,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_evidence_complete failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_multi_business_ai_infrastructure.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_multi_business_ai_infrastructure,ASSERTION_FAILED,case_activation,assertions.qualification_forecast_bridge_complete,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_forecast_bridge_complete failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_multi_business_ai_infrastructure.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_multi_business_ai_infrastructure,ASSERTION_FAILED,case_activation,assertions.qualification_official_sources_present,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_official_sources_present failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_multi_business_ai_infrastructure.yaml: actual=0, expected='$nonempty'",route the failed upstream gate to its owning stage; do not edit the expected value
golden_multi_business_ai_infrastructure,ASSERTION_FAILED,case_activation,assertions.qualification_overlap_resolved,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_overlap_resolved failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_multi_business_ai_infrastructure.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_multi_business_ai_infrastructure,ASSERTION_FAILED,case_activation,assertions.qualification_semantic_gate_passed,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_semantic_gate_passed failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_multi_business_ai_infrastructure.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_multi_business_ai_infrastructure,ASSERTION_FAILED,case_activation,assertions.qualification_valuation_eligible,quality-review,R5_bundle17r_targeted_backflow,"assertion qualification_valuation_eligible failed in reports/p1_6/r5_bundle17r/chain_a/qualification/qualification/golden_multi_business_ai_infrastructure.yaml: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_multi_business_ai_infrastructure,ASSERTION_FAILED,case_activation,assertions.quality_case_id,quality-review,R5_bundle17r_targeted_backflow,"assertion quality_case_id failed in reports/workflow_runs/wf_20260715_stock_first_600673_hec_tech/bundle16r/generated/quality_readout.json: actual='600673_multi_business_ma', expected='$case_id'",route the failed upstream gate to its owning stage; do not edit the expected value
golden_multi_business_ai_infrastructure,ASSERTION_FAILED,case_activation,assertions.regression_candidate_ready,quality-review,R5_bundle17r_targeted_backflow,"assertion regression_candidate_ready failed in reports/p1_6/r5_bundle17r/chain_a/golden_regression/R5_bundle14r_suite_result.json: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_multi_business_ai_infrastructure,ASSERTION_FAILED,case_activation,assertions.regression_research_ready,quality-review,R5_bundle17r_targeted_backflow,"assertion regression_research_ready failed in reports/p1_6/r5_bundle17r/chain_a/golden_regression/R5_bundle14r_suite_result.json: actual=False, expected=True",route the failed upstream gate to its owning stage; do not edit the expected value
golden_multi_business_ai_infrastructure,ASSERTION_POINTER_UNRESOLVED,case_activation,assertions.generation_id_present.pointer,quality-review,R5_bundle17r_targeted_backflow,cannot resolve pointer '/generation_id' in reports/workflow_runs/wf_20260715_stock_first_600673_hec_tech/bundle16r/generated/generation_lock.json: '/generation_id',bind the assertion to the exact field emitted by the upstream artifact
golden_multi_business_ai_infrastructure,ASSERTION_POINTER_UNRESOLVED,case_activation,assertions.quality_gate_pass.pointer,quality-review,R5_bundle17r_targeted_backflow,cannot resolve pointer '/candidate_ready_for_exact_hash_review' in reports/workflow_runs/wf_20260715_stock_first_600673_hec_tech/bundle16r/generated/quality_readout.json: '/candidate_ready_for_exact_hash_review',bind the assertion to the exact field emitted by the upstream artifact
